id;consecutivo;descripcion_actividad;fecha_inicio;fecha_final;fecha_registro;nombre_responsable;estado;correo_responsable
1;23435;why tame;2024-11-01;2024-11-01;2024-11-01;geez despite whitewash;APROBADO;outlandish
2;24565;vice that yippee;2024-11-01;2024-11-01;2024-11-01;busy enchanted travel;RECHAZADO;petty a eek
3;2666;each;2024-11-01;2024-10-31;2024-11-01;seal of cardboard;APROBADO;comfortable
4;22750;since;2024-10-31;2024-11-01;2024-11-01;outside;SIN_ASIGNAR;trash incidentally jealously
5;28265;keenly;2024-11-01;2024-11-01;2024-11-01;madly ravioli;APROBADO;when silt ack
6;22627;cheerfully discontinue;2024-11-01;2024-11-01;2024-11-01;limply obedient;RECHAZADO;elliptical navigate
7;24754;until opposite remorseful;2024-11-01;2024-11-01;2024-11-01;provided;SIN_ASIGNAR;unnecessarily wherever
8;29038;which obesity save;2024-11-01;2024-10-31;2024-10-31;pink;APROBADO;indeed
9;5532;above jogging without;2024-11-01;2024-11-01;2024-11-01;jury team rusty;SIN_ASIGNAR;besides over finally
10;13858;lest regulate;2024-11-01;2024-11-01;2024-10-31;cycle;APROBADO;notwithstanding phew
